PROV_CODE,AMP_CODE,TAM_CODE,PROV_NAMT,PROV_NAME,AMP_NAMT,AMP_NAME,TAM_NAMT,TAM_NAME,PA,tumbol_ID,amenity,name,name_th,layer
50,5,13,เชียงใหม่,CHIANG MAI,ดอยสะเก็ด,DOI SAKET,ป่าเมี่ยง,PA MIANG,5005,500513,baby_hatch,,,baby_hatch
46,11,2,กาฬสินธุ์,KALASIN,ท่าคันโท,THA KHANTHO,กุงเก่า,KUNG KAO,4611,461102,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล กุงเก่า,,clinic
40,16,12,ขอนแก่น,KHON KAEN,ภูเวียง,PHU WIANG,หนองกุงเซิน,NONG KUNG SOEN,4016,401612,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล,,clinic
36,14,2,ชัยภูมิ,CHAIYAPHUM,ภักดีชุมพล,PHAKDI CHUMPHON,เจาทอง,CHAO THONG,3614,361402,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล เจาทอง,,clinic
71,1,5,กาญจนบุรี,KANCHANABURI,เมืองกาญจนบุรี,MUEANG KANCHANABURI,แก่งเสี้ยน,KAENG SIAN,7101,710105,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล แก่งเสี้ยน,,clinic
45,9,8,ร้อยเอ็ด,ROI ET,หนองพอก,NONG PHOK,ผาน้ำย้อย,PHA NAM YOI,4509,450908,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านโคกกลาง,,clinic
40,1,12,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,ดอนช้าง,DON CHANG,4001,400112,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล,,clinic
72,2,7,สุพรรณบุรี,SUPHAN BURI,เดิมบางนางบวช,DOEM BANG NANG BUAT,โคกช้าง,KHOK CHANG,7202,720207,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล,,clinic
44,7,3,มหาสารคาม,MAHA SARAKHAM,นาเชือก,NA CHUEAK,หนองแดง,NONG DAENG,4407,440703,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หนองแดง,,clinic
44,7,5,มหาสารคาม,MAHA SARAKHAM,นาเชือก,NA CHUEAK,หนองโพธิ์,NONG PHO,4407,440705,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หนองโพธ์,,clinic
52,8,5,ลำปาง,LAMPANG,เถิน,THOEN,เวียงมอก,WIANG MOK,5208,520805,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล,,clinic
45,16,6,ร้อยเอ็ด,ROI ET,ศรีสมเด็จ,SI SOMDET,โพธิ์สัย,PHO SAI,4516,451606,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โพธิ์สัย,,clinic
44,1,10,มหาสารคาม,MAHA SARAKHAM,เมืองมหาสารคาม,MUEANG MAHA SARAKHAM,ลาดพัฒนา,LAT PHATTHANA,4401,440110,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านบุ่งคล้า-ท่างาม,,clinic
44,9,3,มหาสารคาม,MAHA SARAKHAM,วาปีปทุม,WAPI PATHUM,เสือโก้ก,SUEA KOK,4409,440903,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล เสือโก้ก,,clinic
44,6,16,มหาสารคาม,MAHA SARAKHAM,บรบือ,BORABUE,ยาง,YANG,4406,440616,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านบกพร้าว,,clinic
46,1,9,กาฬสินธุ์,KALASIN,เมืองกาฬสินธุ์,MUEANG KALASIN,ห้วยโพธิ์,HUAI PHO,4601,460109,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ห้วยโพธิ์,,clinic
67,9,2,เพชรบูรณ์,PHETCHABUN,น้ำหนาว,NAM NAO,หลักด่าน,LAK DAN,6709,670902,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หลักด่าน,,clinic
67,4,7,เพชรบูรณ์,PHETCHABUN,หล่มเก่า,LOM KAO,วังบาล,WANG BAN,6704,670407,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล วังบาล,,clinic
