PROV_CODE,AMP_CODE,TAM_CODE,PROV_NAMT,PROV_NAME,AMP_NAMT,AMP_NAME,TAM_NAMT,TAM_NAME,PA,PAT,amenity,name,name:th,layer
30.0,20.0,9.0,นครราชสีมา,NAKHON RATCHASIMA,สีคิ้ว,SIKHIO,มิตรภาพ,MITTRAPHAP,3020.0,302009.0,courthouse,Sikhio Provincial Court,,
80.0,1.0,1.0,นครศรีธรรมราช,NAKHON SI THAMMARAT,เมืองนครศรีธรรมราช,MUEANG NAKHON SI THAMMARAT,ในเมือง,NAI MUEANG,8001.0,800101.0,courthouse,ศาลจังหวัดนครศรีธรรมราช,ศาลจังหวัดนครศรีธรรมราช,
90.0,1.0,4.0,สงขลา,SONGKHLA,เมืองสงขลา,MUEANG SONGKHLA,พะวง,PHAWONG,9001.0,900104.0,courthouse,ศาลปกครอง สงขลา,ศาลปกครอง สงขลา,
57.0,7.0,8.0,เชียงราย,CHIANG RAI,แม่จัน,MAE CHAN,ป่าตึง,PA TUENG,5707.0,570708.0,courthouse,สำนักงานกฎหมาย,,
96.0,1.0,1.0,นราธิวาส,NARATHIWAT,เมืองนราธิวาส,MUEANG NARATHIWAT,บางนาค,BANG NAK,9601.0,960101.0,courthouse,ศาลเยาวชนและครอบครัวจังหวัด​นราธิวาส​,,
58.0,3.0,1.0,แม่ฮ่องสอน,MAE HONG SON,ปาย,PAI,เวียงใต้,WIANG TAI,5803.0,580301.0,courthouse,ศาลจังหวัดแม่ฮ่องสอน สาขาปาย,ศาลจังหวัดแม่ฮ่องสอน สาขาปาย,
21.0,1.0,1.0,ระยอง,RAYONG,เมืองระยอง,MUEANG RAYONG,ท่าประดู่,THA PRADU,2101.0,210101.0,courthouse,ศาลจังหวัดระยอง,ศาลจังหวัดระยอง,
20.0,1.0,1.0,ชลบุรี,CHON BURI,เมืองชลบุรี,MUEANG CHON BURI,บางปลาสร้อย,BANG PLA SOI,2001.0,200101.0,courthouse,Chonburi Provincial Court,,
82.0,5.0,1.0,พังงา,PHANGNGA,ตะกั่วป่า,TAKUA PA,ตะกั่วป่า,TAKUA PA,8205.0,820501.0,courthouse,ศาลจังหวัดตะกั่วป่า,,
82.0,5.0,1.0,พังงา,PHANGNGA,ตะกั่วป่า,TAKUA PA,ตะกั่วป่า,TAKUA PA,8205.0,820501.0,courthouse,สำนักงานอัยการจังหวัดตะกั่วป่า,,
82.0,1.0,1.0,พังงา,PHANGNGA,เมืองพังงา,MUEANG PHANGNGA,ท้ายช้าง,THAI CHANG,8201.0,820101.0,courthouse,Provincial court,,
77.0,7.0,1.0,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,หัวหิน,HUA HIN,หัวหิน,HUA HIN,7707.0,770701.0,courthouse,ศาลจังหวัดหัวหิน,ศาลจังหวัดหัวหิน,
20.0,4.0,3.0,ชลบุรี,CHON BURI,บางละมุง,BANG LAMUNG,หนองปลาไหล,NONG PLA LAI,2004.0,200403.0,courthouse,บ้านเรา,,
65.0,1.0,1.0,พิษณุโลก,PHITSANULOK,เมืองพิษณุโลก,MUEANG PHITSANULOK,ในเมือง,NAI MUEANG,6501.0,650101.0,courthouse,ศาลจังหวัดพิษณุโลก,,
65.0,1.0,1.0,พิษณุโลก,PHITSANULOK,เมืองพิษณุโลก,MUEANG PHITSANULOK,ในเมือง,NAI MUEANG,6501.0,650101.0,courthouse,สำนักงานบังคับคดีจังหวัดพิษณุโลก,,
65.0,1.0,1.0,พิษณุโลก,PHITSANULOK,เมืองพิษณุโลก,MUEANG PHITSANULOK,ในเมือง,NAI MUEANG,6501.0,650101.0,courthouse,สำนักงานสรรพากรภาค 7,,
10.0,45.0,1.0,กรุงเทพมหานคร,BANGKOK,วังทองหลาง,WANG THONGLANG,วังทองหลาง,WANG THONGLANG,1045.0,104501.0,courthouse,ป.ธนาทาว์เวอร์,,
11.0,3.0,2.0,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,บางแก้ว,BANG KAEO,1103.0,110302.0,courthouse,Home,,
12.0,1.0,4.0,นนทบุรี,NONTHABURI,เมืองนนทบุรี,MUEANG NONTHABURI,บางกระสอ,BANG KRASO,1201.0,120104.0,courthouse,ศาลจังหวัดนนทบุรี,ศาลจังหวัดนนทบุรี,
10.0,7.0,4.0,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,ลุมพินี,LUMPHINI,1007.0,100704.0,courthouse,ซอยพระเจน,ซอยพระเจน,
40.0,1.0,6.0,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,เมืองเก่า,MUEANG KAO,4001.0,400106.0,courthouse,ศาลปกครองขอนแก่น,ศาลปกครองขอนแก่น,
39.0,1.0,1.0,หนองบัวลำภู,NONG BUA LAM PHU,เมืองหนองบัวลำภู,MUEANG NONG BUA LAM PHU,หนองบัว,NONG BUA,3901.0,390101.0,courthouse,ศาลสมเด็จพระนเรศาลมหาราช,ศาลสมเด็จพระนเรศาลมหาราช,
39.0,1.0,1.0,หนองบัวลำภู,NONG BUA LAM PHU,เมืองหนองบัวลำภู,MUEANG NONG BUA LAM PHU,หนองบัว,NONG BUA,3901.0,390101.0,courthouse,หอเจ้าแม่สองนาง,หอเจ้าแม่สองนาง,
39.0,1.0,12.0,หนองบัวลำภู,NONG BUA LAM PHU,เมืองหนองบัวลำภู,MUEANG NONG BUA LAM PHU,โนนทัน,NON THAN,3901.0,390112.0,courthouse,ศาลปู่หลุบ,ศาลปู่หลุบ,
39.0,1.0,2.0,หนองบัวลำภู,NONG BUA LAM PHU,เมืองหนองบัวลำภู,MUEANG NONG BUA LAM PHU,หนองภัยศูนย์,NONG PHAI SUN,3901.0,390102.0,courthouse,ศาลปู่-ย่า บ้านหนองภัยศูนย์,ศาลปู่-ย่า บ้านหนองภัยศูนย์,
11.0,4.0,5.0,สมุทรปราการ,SAMUT PRAKAN,พระประแดง,PHRA PRADAENG,บางหญ้าแพรก,BANG YA PHRAEK,1104.0,110405.0,courthouse,บ้านซอยโรงเหล็ก,บ้านซอยโรงเหล็ก,
30.0,1.0,1.0,นครราชสีมา,NAKHON RATCHASIMA,เมืองนครราชสีมา,MUEANG NAKHON RATCHASIMA,ในเมือง,NAI MUEANG,3001.0,300101.0,courthouse,ศาลเจ้าพ่อเสือ ทุ่งสว่าง,ศาลเจ้าพ่อเสือ ทุ่งสว่าง,
