tumbol_ID,tumbol_name,amphur_name,province_name,LAT,LONG,d_from_BKK,distance_KBV,distance_HDY,distance_NST,distance_BFV,distance_KKC,distance_SNO,distance_LOE,distance_UTP,distance_HHQ,distance_NNT,distance_HKT,distance_URT,distance_UBP,distance_USM,distance_UNN,distance_CJM,distance_PRH,distance_THS,distance_NAW,distance_ROI,distance_CNX,distance_CEI,distance_MAQ,distance_LPT,distance_UTH,distance_PSH,distance_TST,distance_HGN,distance_KOP,poverty_rate_accessibility,poverty_rate_education,poverty_rate_health,poverty_rate_income,poverty_rate_living
110113,บางด้วน,เมืองสมุทรปราการ,สมุทรปราการ,13.622,100.581,17.21,638.35,744.05,569.34,338.37,394.62,549.21,442.53,114.39,129.09,573.39,660.95,522.94,496.07,456.21,460.99,379.79,503.41,410.26,799.5,441.21,598.04,707.76,406.29,529.71,480.71,352.97,687.88,689.9,603.59,0,0.211137503,2.639218791,5.991026656,0.290314067
110115,เทพารักษ์,เมืองสมุทรปราการ,สมุทรปราการ,13.634,100.61,17.93,640.51,745.48,571.06,335.01,391.69,546.09,440.39,114.4,131.9,571.96,663.37,525.17,492.67,457.93,463.65,382.29,502.37,409.59,800.32,437.94,597.67,706.76,406.85,529.09,478.02,351.94,689.69,689.93,600.42,0,0.893485296,0.689461095,0.506542845,0.070353173
110117,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,13.559,100.691,29.99,635.04,737.48,564,332.26,393.42,546.33,446.19,103.51,130.17,580.1,659.1,520.05,487.79,450.91,460.59,378.43,511.55,419.6,790.75,436.64,608.22,716.04,418.61,539.19,481.23,361.2,682.92,701.09,600.15,0.013005592,0.253609052,0.045519573,0.026011185,0.019508389
110151,เทศบาลนคร สมุทรปราการ,เมืองสมุทรปราการ,สมุทรปราการ,13.559,100.691,29.99,635.04,737.48,564,332.26,393.42,546.33,446.19,103.51,130.17,580.1,659.1,520.05,487.79,450.91,460.59,378.43,511.55,419.6,790.75,436.64,608.22,716.04,418.61,539.19,481.23,361.2,682.92,701.09,600.15,0,0.259576259,9.800757682,1.262803424,0.897993546
110155,เทศบาลตำบล บางเมือง,เมืองสมุทรปราการ,สมุทรปราการ,13.559,100.691,29.99,635.04,737.48,564,332.26,393.42,546.33,446.19,103.51,130.17,580.1,659.1,520.05,487.79,450.91,460.59,378.43,511.55,419.6,790.75,436.64,608.22,716.04,418.61,539.19,481.23,361.2,682.92,701.09,600.15,0.002802298,0.033627575,1.182569707,1.527252347,0.737004344
110156,เทศบาลตำบล แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,13.559,100.691,29.99,635.04,737.48,564,332.26,393.42,546.33,446.19,103.51,130.17,580.1,659.1,520.05,487.79,450.91,460.59,378.43,511.55,419.6,790.75,436.64,608.22,716.04,418.61,539.19,481.23,361.2,682.92,701.09,600.15,0,0.707007694,3.389478062,2.911208151,0.894156789
110157,เทศบาลตำบล สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,13.559,100.691,29.99,635.04,737.48,564,332.26,393.42,546.33,446.19,103.51,130.17,580.1,659.1,520.05,487.79,450.91,460.59,378.43,511.55,419.6,790.75,436.64,608.22,716.04,418.61,539.19,481.23,361.2,682.92,701.09,600.15,0.04737412,0.358689767,0.812127775,1.475365457,0.473741202
110201,บางบ่อ,บางบ่อ,สมุทรปราการ,13.611,100.862,42.13,646.25,744.3,572.68,313.77,378.36,529.79,436.34,104.7,146.54,574.33,671.93,531.8,468.52,459.77,474.96,391.96,508.16,418.49,793.97,418.97,608.54,712.72,424.27,538.21,467.75,358.21,692.05,703.59,583.16,0,0.111913725,7.30491403,1.831315495,0.824091973
110202,บ้านระกาศ,บางบ่อ,สมุทรปราการ,13.639,100.904,45.36,650.66,747.74,576.56,308.27,373.29,524.47,432.36,107.22,151.9,571.31,676.66,536.34,463.12,463.7,479.98,396.85,505.77,416.72,796.52,413.52,607.11,710.31,424.42,536.44,462.97,355.96,696.01,702.76,577.78,0,0,0,0,0.077021823
110204,บางเพรียง,บางบ่อ,สมุทรปราการ,13.545,100.805,40.31,637.33,736.58,564.39,323.05,387.87,539.37,444.83,98.62,136.96,581.6,662.69,522.76,477.11,451.42,465.49,382.6,514.58,424,787.48,428.47,613.49,719.14,426.75,543.7,477.04,364.44,683.65,707.61,592.72,0,1.228813559,12.10805085,3.13559322,0.328389831
