"TUMBOL_ID","TUMBOL_NAME","AMPHUR_ID","AMPHUR_NAME","PROVINCE_ID","PROVINCE_NAME","TOTAL_POPULATION","TESABAN_FLAG","TNAME","MAP_TUMBOL_ID"
"150603","ไผ่ดำพัฒนา","1506","วิเศษชัยชาญ","15","อ่างทอง",2290,0,"ไผ่ดำพัฒนา","150603"
"150613","หัวตะพาน","1506","วิเศษชัยชาญ","15","อ่างทอง",2439,0,"หัวตะพาน","150613"
"150614","หลักแก้ว","1506","วิเศษชัยชาญ","15","อ่างทอง",3322,0,"หลักแก้ว","150614"
"160208","ห้วยขุนราม","1602","พัฒนานิคม","16","ลพบุรี",5231,0,"ห้วยขุนราม","160208"
"160251","เทศบาลตำบล พัฒนานิคม","1602","พัฒนานิคม","16","ลพบุรี",969,1,"พัฒนานิคม","160201"
"160403","ศิลาทิพย์","1604","ชัยบาดาล","16","ลพบุรี",3409,0,"ศิลาทิพย์","160403"
"160404","ห้วยหิน","1604","ชัยบาดาล","16","ลพบุรี",2232,0,"ห้วยหิน","160404"
"160501","ท่าวุ้ง","1605","ท่าวุ้ง","16","ลพบุรี",1952,0,"ท่าวุ้ง","160501"
"110157","เทศบาลตำบล สำโรงเหนือ","1101","เมืองสมุทรปราการ","11","สมุทรปราการ",14776,1,"สำโรงเหนือ","110102"
"110412","บางกอบัว","1104","พระประแดง","11","สมุทรปราการ",4572,0,"บางกอบัว","110412"
"110452","เทศบาลเมือง ลัดหลวง","1104","พระประแดง","11","สมุทรปราการ",11421,1,"ลัดหลวง",""
"110503","แหลมฟ้าผ่า","1105","พระสมุทรเจดีย์","11","สมุทรปราการ",2352,0,"แหลมฟ้าผ่า","110503"
"120208","ปลายบาง","1202","บางกรวย","12","นนทบุรี",1258,0,"ปลายบาง","120208"
"120209","ศาลากลาง","1202","บางกรวย","12","นนทบุรี",5995,0,"ศาลากลาง","120209"
"120404","บางคูรัด","1204","บางบัวทอง","12","นนทบุรี",7601,0,"บางคูรัด","120404"
"130503","คูบางหลวง","1305","ลาดหลุมแก้ว","13","ปทุมธานี",9982,0,"คูบางหลวง","130503"
"130707","บ้านปทุม","1307","สามโคก","13","ปทุมธานี",3134,0,"บ้านปทุม","130707"
"140113","หันตรา","1401","พระนครศรีอยุธยา","14","พระนครศรีอยุธยา",3635,0,"หันตรา","140113"
"140504","สะพานไทย","1405","บางบาล","14","พระนครศรีอยุธยา",1563,0,"สะพานไทย","140504"
"140601","บ้านเลน","1406","บางปะอิน","14","พระนครศรีอยุธยา",6902,0,"บ้านเลน","140601"
"140801","ผักไห่","1408","ผักไห่","14","พระนครศรีอยุธยา",2160,0,"ผักไห่","140801"
"140802","อมฤต","1408","ผักไห่","14","พระนครศรีอยุธยา",1050,0,"อมฤต","140802"
"141001","ลาดบัวหลวง","1410","ลาดบัวหลวง","14","พระนครศรีอยุธยา",3158,0,"ลาดบัวหลวง","141001"
"141204","สามกอ","1412","เสนา","14","พระนครศรีอยุธยา",3793,0,"สามกอ","141204"
"141211","บ้านแถว (อยู่ในเขตเทศบาล)","1412","เสนา","14","พระนครศรีอยุธยา",469,1,"บ้านแถว","141211"
"141252","เทศบาลตำบล เจ้าเจ็ด","1412","เสนา","14","พระนครศรีอยุธยา",8192,1,"เจ้าเจ็ด","141203"
"141508","พิตเพียน","1415","มหาราช","14","พระนครศรีอยุธยา",1470,0,"พิตเพียน","141508"
"141510","บ้านขวาง","1415","มหาราช","14","พระนครศรีอยุธยา",1402,0,"บ้านขวาง","141510"
"150202","ไชยภูมิ","1502","ไชโย","15","อ่างทอง",2540,0,"ไชยภูมิ","150202"
